url,user,message,hashtags,time,longitude,latitude,country,state,state_initial
https://twitter.com/DiegoMcLennon/status/451554468144754688,DiegoMcLennon,"Debera volver a estudiar matemtica pero llolo yolo iolo",none,"Thu Apr 03 02:59:09 +0000 2014",,,,,
https://twitter.com/bare378/status/451554493520302081,bare378,"RT @C__Knore: Haha jk yolo swag 3 hunna",none,"Thu Apr 03 02:59:15 +0000 2014",,,,,
https://twitter.com/FUTMuppins/status/451554937369931776,FUTMuppins,"RT @FUTHarry_: @G2gfifa youll be fine. put 8mil on it thats yolo. now STFU you have near 10 mil grow a pair of balls you faggot",none,"Thu Apr 03 03:01:01 +0000 2014",,,,,
https://twitter.com/PonyBoy54/status/451554946065121280,PonyBoy54,"Weed keef hash and yolo bowl to cap this long day",none,"Thu Apr 03 03:01:03 +0000 2014",,,,,
https://twitter.com/drainl2/status/451554945796673536,drainl2,"remember yolo",none,"Thu Apr 03 03:01:03 +0000 2014",,,,,
https://twitter.com/L3VYTATION/status/451554952197193730,L3VYTATION,"@Jaden_Sexton @BallersDesire me either.. But im so glad he did Lol #yolo","yolo ","Thu Apr 03 03:01:04 +0000 2014",,,,,
https://twitter.com/AyeeJohnny/status/451554952855699456,AyeeJohnny,"RT @Steepphy: @AyeeJohnny do it yolo",none,"Thu Apr 03 03:01:04 +0000 2014",,,,,
https://twitter.com/thecooljackson/status/451554982655827969,thecooljackson,"going to take a showeranya cause yolo :)",none,"Thu Apr 03 03:01:12 +0000 2014",,,,,
https://twitter.com/joseraullizardi/status/451554982337069056,joseraullizardi,"@DianaLuz1211  #yolo","yolo ","Thu Apr 03 03:01:11 +0000 2014",,,,,
https://twitter.com/TonyNana/status/451554985579249664,TonyNana,"@JerryTheMiah @pfranci2 yassss lol now we need to fig out pregame! i may do 4 loko #yolo esp that they r going off market soon","yolo ","Thu Apr 03 03:01:12 +0000 2014",,,,,
https://twitter.com/AkiraSimbol/status/451554991439110144,AkiraSimbol,"@HeyNikkiOy: @AkiraSimbol bat ka nagpakalbo.... coz #yolo","yolo ","Thu Apr 03 03:01:14 +0000 2014",,,,,
https://twitter.com/amanda_lynnr/status/451554993691430913,amanda_lynnr,"@shanzz04 yolo",none,"Thu Apr 03 03:01:14 +0000 2014",,,,,
https://twitter.com/RigaTho/status/451554994026577920,RigaTho,"@swimbes yeah! i just thought i was dying. whatever/yolo. stay hydrated.",none,"Thu Apr 03 03:01:14 +0000 2014",,,,,
https://twitter.com/Dstahl21/status/451555008790929408,Dstahl21,"@kcorinne3 yolo I would",none,"Thu Apr 03 03:01:18 +0000 2014",,,,,
https://twitter.com/YTDeadNight/status/451555012242862082,YTDeadNight,"@SoNotShannon cuz yolo",none,"Thu Apr 03 03:01:19 +0000 2014",,,,,
https://twitter.com/soyseisseisseis/status/451555012997435392,soyseisseisseis,"@alehappy #whitegirl la verdad no s si aplica, pero yolo","whitegirl ","Thu Apr 03 03:01:19 +0000 2014",,,,,
https://twitter.com/piaaagerardeen/status/451555022816706560,piaaagerardeen,"Tag yolo po hahahaha hi  http://t.co/xDWQIVcdfG",none,"Thu Apr 03 03:01:21 +0000 2014",,,,,
https://twitter.com/liamsaysno/status/451555026138570753,liamsaysno,"bc yolo",none,"Thu Apr 03 03:01:22 +0000 2014",,,,,
https://twitter.com/keilanne15/status/451555026675052544,keilanne15,"@TheRealMarcos_V we just yolo'ed it by the end. Haha",none,"Thu Apr 03 03:01:22 +0000 2014",,,,,
https://twitter.com/hanziaaa/status/451555075513524224,hanziaaa,"@nadodude111 @MalcsPizzaLuva yolo is right",none,"Thu Apr 03 03:01:34 +0000 2014",,,,,
https://twitter.com/13_mdirk/status/451555085730852865,13_mdirk,"@Jacob_Vertosnik: New phone swag #YOLO http://t.co/0ARZDLJaLu swag yolo swerve. watch out guyz he's on team iPhone","yolo ","Thu Apr 03 03:01:36 +0000 2014",,,,,
https://twitter.com/dysphoricelyssa/status/451555092932464640,dysphoricelyssa,"i said i would shower at eight yolo",none,"Thu Apr 03 03:01:38 +0000 2014",,,,,
https://twitter.com/_CodyGross/status/451555130018504705,_CodyGross,"RT @alex_cornele11: Why Is yolo favoriting my tweets ?   ",none,"Thu Apr 03 03:01:47 +0000 2014",,,,,
https://twitter.com/Achapphawk/status/451555147152654337,Achapphawk,"@madtrum #wicked #productioncontract #perdiem #yolo #tourlife #seta","wicked productioncontract perdiem yolo tourlife seta ","Thu Apr 03 03:01:51 +0000 2014",-73.95167985,40.82419909,,,
https://twitter.com/BrittanyKeegs/status/451555172011880449,BrittanyKeegs,"Toe nails are a diff color then my finger nails cuz yolo",none,"Thu Apr 03 03:01:57 +0000 2014",,,,,
https://twitter.com/vtae44/status/451555196393369600,vtae44,"But yolo",none,"Thu Apr 03 03:02:02 +0000 2014",-98.4842132,45.4529587,,,
https://twitter.com/allystassi/status/451555208934342656,allystassi,"Shoulda gone by yolo",none,"Thu Apr 03 03:02:05 +0000 2014",,,,,
https://twitter.com/tanysha_montano/status/451555213606809600,tanysha_montano,"RT @natcon97: @tanysha_montano #yolo #fish #hyfr #cake","yolo fish hyfr cake ","Thu Apr 03 03:02:07 +0000 2014",,,,,
https://twitter.com/supermaannn_/status/451555217176539137,supermaannn_,"@AylinSaira: Would this be a bad idea ... ? yolo.",none,"Thu Apr 03 03:02:07 +0000 2014",,,,,
https://twitter.com/ohhsarahjane/status/451555237749207041,ohhsarahjane,"Enjoying the cold brew while working on my group presentation. #yolo","yolo ","Thu Apr 03 03:02:12 +0000 2014",,,,,
https://twitter.com/sarahparkhurst/status/451555246121037825,sarahparkhurst,"Eating my sorrows away cuz yolo.",none,"Thu Apr 03 03:02:14 +0000 2014",,,,,
https://twitter.com/Fav_White_Boy/status/451555258120929280,Fav_White_Boy,"Can't exactly figure out how to work this parking place so just gonna yolo it.",none,"Thu Apr 03 03:02:17 +0000 2014",,,,,
https://twitter.com/S_Bubblepop/status/451555276878249985,S_Bubblepop,"RT @KoreaMx: Saben que ? #yolo http://t.co/yq5CdShZAF","yolo ","Thu Apr 03 03:02:22 +0000 2014",,,,,
https://twitter.com/JarretMelanson/status/451555278501457921,JarretMelanson,"@nryan1996 #yolo","yolo ","Thu Apr 03 03:02:22 +0000 2014",,,,,
https://twitter.com/undefinedemberi/status/451555283450347521,undefinedemberi,"Search kami ng search ni ate ng ""yellow"" ""yolo"" ""YALA"" naman pala yung title. Inis! ",none,"Thu Apr 03 03:02:23 +0000 2014",,,,,
https://twitter.com/TLipinski42/status/451555324244135937,TLipinski42,"@Hpvogel4 #yolo","yolo ","Thu Apr 03 03:02:33 +0000 2014",,,,,
https://twitter.com/Tookis_/status/451555334516391936,Tookis_," #yolo #peda #amigos #cumple #wreckingball #hahaha #asdfghjkl http://t.co/trO4yToKIK","yolo peda amigos cumple wreckingball hahaha asdfghjkl ","Thu Apr 03 03:02:35 +0000 2014",,,,,
https://twitter.com/Adee_mgl/status/451555355281989632,Adee_mgl,"RT @yolostuff: Getting someone horny, then leaving #YOLO","yolo ","Thu Apr 03 03:02:40 +0000 2014",,,,,
https://twitter.com/mrpurplemoney/status/451555366719873024,mrpurplemoney,"@itsbeth95 beer with a straw yolo",none,"Thu Apr 03 03:02:43 +0000 2014",,,,,
https://twitter.com/XfinityDj/status/451555394897575937,XfinityDj,"I've got the power.  Turn that cold winter into spring. #yolo https://t.co/Zi9wfQnsOM","yolo ","Thu Apr 03 03:02:50 +0000 2014",,,,,
https://twitter.com/FamSitzpatrick/status/451555402660868096,FamSitzpatrick,"@grachellev No thinking just #yolo","yolo ","Thu Apr 03 03:02:52 +0000 2014",,,,,
https://twitter.com/__Hoopaholic35/status/451555415067590656,__Hoopaholic35,"@Kerribearyy yolo kerri ",none,"Thu Apr 03 03:02:55 +0000 2014",,,,,
https://twitter.com/AylinSaira/status/451555416548179968,AylinSaira,"RT @supermaannn_: @AylinSaira: Would this be a bad idea ... ? yolo.",none,"Thu Apr 03 03:02:55 +0000 2014",,,,,
https://twitter.com/Silent_Jon/status/451555430284935168,Silent_Jon,"Sleeping on the other side of the bed tonight. #yolo","yolo ","Thu Apr 03 03:02:58 +0000 2014",,,,,
https://twitter.com/julianna_dz/status/451555433099304960,julianna_dz,"But I mean yolo",none,"Thu Apr 03 03:02:59 +0000 2014",,,,,
